197301	520.96
197302	446.22
197303	350.39
197304	229.4
197305	232.73
197306	233.47
197307	230.51
197308	249.01
197309	335.59
197310	391.09
197311	432.9
197312	461.02
197401	490.88
197402	418.88
197403	335.68
197404	232
197405	200
197406	191.04
197407	177.6
197408	250.88
197409	306.88
197410	337.28
197411	333.12
197412	379.2
197501	393.6
197502	257.1
197503	249.9
197504	165.9
197505	132.9
197506	145.5
197507	178.2
197508	166.2
197509	227.4
197510	259.5
197511	272.4
197512	374.4
197601	331.76
197602	205.61
197603	188.21
197604	216.92
197605	169.36
197606	151.67
197607	116.58
197608	155.15
197609	173.42
197610	223.59
197611	261.87
197612	391.5
197701	344.4
197702	231.28
197703	203.56
197704	210.28
197705	163.8
197706	169.68
197707	127.68
197708	158.48
197709	149.52
197710	192.08
197711	256.76
197712	299.6
197801	235.52
197802	241.73
197803	188.14
197804	159.16
197805	143.52
197806	138.92
197807	125.81
197808	128.34
197809	146.74
197810	211.83
197811	225.17
197812	242.65
197901	258.2
197902	156.4
197903	123.2
197904	110.6
197905	100
197906	102.6
197907	89
197908	84.2
197909	111.8
197910	156
197911	186.6
197912	199
198001	181.44
198002	158.76
198003	113.19
198004	121.38
198005	73.29
198006	57.96
198007	71.82
198008	67.83
198009	90.09
198010	122.85
198011	129.99
198012	166.32
198101	161.1
198102	128.16
198103	85.32
198104	101.16
198105	84.6
198106	54
198107	77.4
198108	82.62
198109	105.66
198110	112.68
198111	153.18
198112	190.08
198201	168.81
198202	117.81
198203	95.71
198204	119.51
198205	79.39
198206	61.71
198207	106.76
198208	113.9
198209	108.29
198210	112.2
198211	143.65
198212	173.06
198301	141.44
198302	123.68
198303	88.16
198304	122.72
198305	74.08
198306	58.72
198307	95.84
198308	90.56
198309	120.32
198310	127.84
198311	135.2
198312	173.12
198401	198.645
198402	173.827
198403	123.893
198404	176.309
198405	106.446
198406	84.173
198407	132.021
198408	124.672
198409	165.639
198410	131.616
198411	139.25
198412	178.183
198501	182.584
198502	159.772
198503	113.875
198504	167.998
198505	101.428
198506	80.206
198507	115.082
198508	108.676
198509	144.386
198510	157.517
198511	166.654
198512	213.248
198601	205.311
198602	179.66
198603	128.05
198604	185.118
198605	111.765
198606	88.379
198607	108.034
198608	102.02
198609	135.543
198610	152.296
198611	161.129
